element,candidate,r,ssim,bias_pct,cv_ratio,n_px
Ca,baseline,0.9639476009041485,0.9077508335690014,2.96151436551364,0.9319812467733848,3466
Ca,learned,0.9573350333925275,0.8933703756424948,2.5596322481096445,0.9834685981930659,3466
Ca,floor,0.9892085396327511,0.9725805109280781,2.3676867688027237,0.9976251985867446,3466
Ti,baseline,0.9157985272981568,0.8125738312484294,3.005980193982838,0.8938776130466876,3466
Ti,learned,0.9101776454223643,0.807638846986685,2.2813458042410417,0.9418444276983752,3466
Ti,floor,0.9309785227798671,0.8403284248556009,2.3864833510784944,0.9836439421438253,3466
Fe,baseline,0.9791391831498245,0.9131395913484206,1.650188019636345,0.9713588679536251,3466
Fe,learned,0.9776918919540569,0.910541603989773,0.8852146678024475,0.9872398192267898,3466
Fe,floor,0.9937756479596912,0.9334704194667822,1.2497399230331219,0.9960346541597865,3466
Cu,baseline,0.956552112957238,0.8944369837720285,1.015032176490993,0.9625155761434717,3466
Cu,learned,0.9498937911206347,0.8788883162998163,0.2601703904253849,1.003398216755264,3466
Cu,floor,0.9873480045212119,0.9581036993927521,0.3084548287927369,0.9978796792156659,3466
PbLl,baseline,0.914917260545943,0.7296763631485264,-0.6875868269653473,0.9355393656427892,3466
PbLl,learned,0.9137408894672664,0.7276190769440357,-1.3538414630202,0.9857046344402255,3466
PbLl,floor,0.9141666770650707,0.734373259922767,-1.1102230246251565e-14,1.0068255282198442,3466
PbLa,baseline,0.9749810580661966,0.9246594403843338,0.2349072021437415,0.963567711945124,3466
PbLa,learned,0.9716979666654281,0.912153834179483,0.21255351247377874,1.0075751582520476,3466
PbLa,floor,0.9932083266064289,0.9828564496252122,0.13973810535901077,1.0064789582748366,3466
PbLb,baseline,0.9739547838099835,0.9187099438664399,-0.034816363275136375,0.9636971814728201,3466
PbLb,learned,0.9704002737912802,0.9052412804380336,-0.0044526710598624675,1.0086412218809944,3466
PbLb,floor,0.9921331520182161,0.9787598310941205,-0.20560471616217768,1.0057445346023575,3466
PbLg,baseline,0.9412704007967508,0.8205451641151363,-0.942469314734451,0.9495036055266441,3466
PbLg,learned,0.9373738086028249,0.8120467649806891,-1.3866821658211514,0.997594442383605,3466
PbLg,floor,0.9474993203773868,0.8460922490126912,-0.9997920601981014,1.0120738573889372,3466
