kev,R,R_sigma,R_model,R_tilt
2.0000,496964.820617,32550.536865,537878.380000,570961.763903
2.0200,330398.061595,21415.613808,357761.676913,379430.331057
2.0400,223254.641659,14316.576956,241849.412854,256274.736059
2.0600,153203.955429,9717.112685,166032.378748,175785.729409
2.0800,106689.397992,6691.103249,115667.710543,122360.393536
2.1000,75343.946600,4671.026905,81714.067896,86371.722773
2.1200,53921.594772,3303.621213,58500.294660,61785.596656
2.1400,39083.378172,2365.683857,42415.373241,44762.633193
2.1600,28673.416204,1714.163633,31126.857126,32824.621889
2.1800,21280.507580,1256.121610,23107.393943,24349.879630
2.2000,15968.726666,930.385541,17343.658029,18263.225494
2.2200,12109.533315,696.187994,13154.892118,13842.827556
2.2400,9275.730048,526.034863,10078.253253,10598.236298
2.2600,7173.615749,401.171414,7795.431290,8192.371279
2.2800,5599.038762,308.664127,6085.100510,6391.002254
2.3000,4408.591940,239.500239,4791.743823,5029.645540
2.3200,3500.516967,187.336007,3804.978832,3991.624550
2.3400,2801.906614,147.663263,3045.698080,3193.370104
2.3600,2260.037602,117.248662,2456.679901,2574.467927
2.3800,1836.441582,93.752612,1996.163643,2090.852148
2.4000,1502.809834,75.467813,1633.410708,1710.105184
2.4200,1238.138141,61.138184,1345.609017,1408.181827
2.4400,1026.718417,49.832353,1115.694964,1167.105498
2.4600,856.713748,40.854503,930.807696,973.334156
2.4800,719.138961,33.681020,781.183025,816.591567
2.5000,607.125469,27.915128,659.355603,689.024706
2.5200,515.387031,23.254142,559.579005,584.591598
2.5400,439.828618,19.465662,477.401072,498.613261
2.5600,377.258008,16.370142,409.350727,427.443411
2.5800,325.171643,13.828035,352.705386,368.223291
2.6000,281.594582,11.730255,305.317088,318.698464
2.6200,244.960093,9.991056,265.481677,277.081035
2.6400,214.018514,8.542671,231.839760,241.945387
2.6600,187.767852,7.331266,203.301275,212.148799
2.6800,165.400625,6.313863,178.987707,186.770666
2.7000,146.262913,5.455982,158.187576,165.065692
2.7200,129.822654,4.729833,140.321958,146.427654
2.7400,115.644956,4.112919,124.917638,130.361192
2.7600,103.372778,3.586943,111.586106,116.459752
2.7800,92.711744,3.136968,100.007033,104.388235
2.8000,83.418139,2.750745,89.915217,93.869297
2.8200,75.289387,2.418192,81.090220,84.672479
2.8400,68.156451,2.130979,73.348107,76.605536
2.8600,61.877754,1.882197,66.534823,69.507503
2.8800,56.334288,1.666097,60.520875,63.243112
2.9000,51.425663,1.477876,55.197034,57.698295
2.9200,47.066908,1.313511,50.470850,52.776527
2.9400,43.185861,1.169620,46.263818,48.395865
2.9600,39.721046,1.043349,42.509059,44.486517
2.9800,36.619928,0.932285,39.149423,40.988858
3.0000,33.837474,0.834382,36.135930,37.851795
3.0200,31.322715,0.747605,33.413401,35.017715
3.0400,29.056836,0.670834,30.961099,32.465066
3.0600,27.010594,0.602782,28.747226,30.160699
3.0800,25.158657,0.542347,26.744240,28.075907
3.1000,23.479021,0.488584,24.928223,26.185763
3.1200,21.952529,0.440675,23.278350,24.468571
3.1400,20.562458,0.397917,21.776447,22.905394
3.1600,19.294174,0.359701,20.406613,21.479669
3.1800,18.134844,0.325497,19.154903,20.176874
3.2000,17.073186,0.294846,18.009062,18.984245
3.2200,16.099261,0.267348,16.958296,17.890542
3.2400,15.204295,0.242652,15.993074,16.885844
3.2600,14.380525,0.220454,15.104968,15.961374
3.2800,13.621066,0.200485,14.286505,15.109354
