element,kev,R_frontal_full,R_frontal_overlap,sig_frontal_overlap,R_ruotato,sig_ruotato,tilt_full_pct,tilt_overlap_pct,baseline_overlap_pct,significance_overlap_sigma,reliable
K,3.3138,0.7441735569986557,0.7376521538277239,0.018586921530952778,0.893416634938216,0.03096835909591744,20.054875174747693,21.11625110863167,7.14120930911937,4.312650269017079,False
Ca,3.69,6.03259590506323,5.776363753642457,0.012988683713199905,6.325922716473929,0.019088285533665632,4.8623646607011475,9.5139258237491,1.8189169907746037,23.80251048682202,True
Ti,4.51,2.53951350728504,2.421869442841373,0.007921443906509501,2.6129904376834356,0.011689228543986584,2.8933467054856794,7.8914656364728195,2.052756187520156,13.53504207996704,True
Fe,6.4,1.2375069023270144,1.206465630417249,0.0025947765670997834,1.2484399210359387,0.0037249303322140262,0.883471331623748,3.479112007871553,0.38379134360393513,9.246252380345814,True
Cu,8.04,1.0773159439417541,1.0115943058003714,0.003163857892845191,1.0369761455267812,0.004508293816101801,-3.744472421653302,2.5090927836261177,0.8780728085959323,4.6084319026109215,True
Zn,8.64,0.7201488803162265,0.6409934757388167,0.014332639419583695,0.6323063211126378,0.020840174800480917,-12.197833198742995,-1.3552641259204616,0.9214288749527949,0.3434603975181709,False
PbLl,9.185,0.8596893689230343,0.827971353641438,0.003476059198814296,0.8620250542184645,0.004937778058190443,0.2716894473589071,4.112908064664014,0.3024378115819038,5.639340913932844,True
PbLa,10.54,0.7994980872419124,0.7647396086503153,0.0008263371556927579,0.781293897247034,0.0011828969281662291,-2.276952288613813,2.164696114790664,0.17019450862308905,11.472603905758348,True
PbLb,12.61,0.7270201497174238,0.6988772482628705,0.0007070630076313142,0.7113112999686853,0.0009780748777005032,-2.160717244885745,1.7791467295180778,0.10311740477688962,10.302608639608557,True
PbLg,14.77,0.6502274932536403,0.6301944186177145,0.0011912558986064382,0.6338492290513145,0.0016720394450519254,-2.518851382363338,0.5799496672180154,1.5476299971791945,1.7802296678417853,True
